Company,Model,Display Height,Display Width,Display Size,Display Quality,Display Type,Processor Name,Processor Generation,Memory,Ram,Videocard,Videocard Storage,Illuminated keyboard,Price,Website index
AQUARIUS,CMP NS685U R11,1080.0,1920.0,15.6,,IPS,Intel Core i5,10210U,256.0,8.0,Intel UHD Graphics,,,964400.0,2
AQUARIUS,CMP NS685U R11,1080.0,1920.0,15.6,,IPS,Intel Core i5,10210U,512.0,16.0,Intel UHD Graphics,,,911600.0,2
INFINIX,Inbook X2 Plus XL25,1080.0,1920.0,15.6,,IPS,Intel Core i3,1115G4,256.0,8.0,Intel UHD Graphics,,,295400.0,2
INFINIX,Inbook X2 Plus XL25,1080.0,1920.0,15.6,,IPS,Intel Core i5,1155G7,512.0,8.0,Intel Iris Xe Graphics,,,,2
CHUWI,HEROBOOK PRO,1080.0,1920.0,14.1,,IPS,Intel Celeron,N4020,256.0,8.0,Intel UHD Graphics 600,,,135700.0,2
CHUWI,COREBOOK XPRO,1080.0,1920.0,15.6,,IPS,Intel Core i5,10210U,512.0,8.0,Intel UHD Graphics,,,287900.0,2
CHUWI,COREBOOK XPRO,1080.0,1920.0,15.6,,IPS,Intel Core i5,10210U,512.0,16.0,Intel UHD Graphics,,,295300.0,2
CHUWI,COREBOOK X 14,1440.0,2160.0,14.0,,IPS,Intel Core i3,10110U,512.0,8.0,Intel UHD Graphics,,,260800.0,2
CHUWI,COREBOOK X 14,1440.0,2160.0,14.0,,IPS,Intel Core i3,10110U,1024.0,16.0,Intel UHD Graphics,,,311800.0,2
CHUWI,Corebook 14,1200.0,1920.0,14.0,,IPS,Intel Core i5,1035G4,512.0,8.0,Intel Iris Plus Graphics,,,242700.0,2
CHUWI,Corebook Xpro,1080.0,1920.0,15.6,,IPS,Intel Core i3,1215U,512.0,8.0,Intel UHD Graphics,,,324100.0,2
CHUWI,Corebook Xpro,1080.0,1920.0,15.6,,IPS,Intel Core i3,1215U,512.0,16.0,Intel UHD Graphics,,,,2
CHUWI,Corebook X 14,1440.0,2560.0,14.0,,IPS,Intel Core i3,1215U,512.0,8.0,Intel UHD Graphics,,,,2
CHUWI,GemiBook Xpro,1080.0,1920.0,14.1,,IPS,Intel Celeron,N100,256.0,8.0,Intel UHD Graphics,,,,2
RIKOR,,1080.0,1920.0,15.6,,IPS,Intel Core i5,8259U,256.0,8.0,Intel Iris Plus graphics,,,383000.0,2
RIKOR,,1080.0,1920.0,15.6,,IPS,AMD Ryzen 3,5425U,256.0,8.0,AMD Radeon Vega 6,,,289100.0,2
TECNO,MEGABOOK T1,,,6.81,,IPS,Intel Core i3,1005G1,,,,,,246500.0,2
TECNO,MEGABOOK T1,,,6.81,,IPS,Intel Core i3,1005G1,,,,,,268800.0,2
TECNO,MegaBook T1,1080.0,1920.0,15.6,,IPS,Intel Core i5,1035G1,512.0,16.0,Intel UHD Graphics,,,311800.0,2
TECNO,MegaBook T1,1080.0,1920.0,15.6,,IPS,Intel Core i3,1005G1,256.0,12.0,Intel UHD Graphics,,,284700.0,2
ROMBICA,MyBook Zenith,1080.0,1920.0,15.6,,IPS,AMD Ryzen 7,5800H,1024.0,16.0,AMD Radeon,,,406000.0,2
ROMBICA,MyBook Zenith,1080.0,1920.0,15.6,,IPS,AMD Ryzen 5,5600U,512.0,8.0,AMD Radeon,,,297300.0,2
ROMBICA,MyBook Zenith,1080.0,1920.0,15.6,,IPS,AMD Ryzen 5,5600U,512.0,8.0,AMD Radeon,,,249800.0,2
ROMBICA,MyBook Zenith,1080.0,1920.0,15.6,,IPS,AMD Ryzen 5,5600U,512.0,16.0,AMD Radeon,,,,2
ROMBICA,MyBook Zenith,1080.0,1920.0,15.6,,IPS,AMD Ryzen 3,5400U,256.0,8.0,AMD Radeon,,,261000.0,2
ROMBICA,MyBook Zenith,1080.0,1920.0,15.6,,IPS,AMD Ryzen 9,5900HX,1024.0,16.0,AMD Radeon,,,424700.0,2
ROMBICA,MyBook Zenith,1080.0,1920.0,15.6,,IPS,AMD Ryzen 3,5400U,256.0,8.0,AMD Radeon,,,231100.0,2
ROMBICA,MyBook Zenith,1080.0,1920.0,15.6,,IPS,AMD Ryzen 7,5800H,512.0,16.0,AMD Radeon,,,368500.0,2
ROMBICA,MyBook Zenith,1080.0,1920.0,15.6,,IPS,AMD Ryzen 7,5800H,512.0,8.0,AMD Radeon,,,362500.0,2
ROMBICA,MyBook Zenith,1080.0,1920.0,15.6,,IPS,AMD Ryzen 5,5600U,512.0,16.0,AMD Radeon,,,374900.0,2
ROMBICA,MyBook Zenith,1080.0,1920.0,15.6,,IPS,AMD Ryzen 5,5600U,256.0,8.0,AMD Radeon,,,260400.0,2
ROMBICA,MyBook Eclipse,1080.0,1920.0,15.6,,IPS,Intel Core i5,10210U,256.0,8.0,Intel UHD Graphics,,,,2
ROMBICA,MyBook Eclipse,1080.0,1920.0,15.6,,IPS,Intel Core i5,10210U,512.0,8.0,Intel UHD Graphics,,,266100.0,2
ROMBICA,MyBook Eclipse,1080.0,1920.0,15.6,,IPS,Intel Core i5,10210U,512.0,16.0,Intel UHD Graphics,,,,2
ROMBICA,MyBook Zenith,1080.0,1920.0,15.6,,IPS,AMD Ryzen 9,5900HX,1024.0,16.0,AMD Radeon,,,534400.0,2
ROMBICA,MyBook Zenith,1080.0,1920.0,15.6,,IPS,AMD Ryzen 7,5800U,512.0,16.0,AMD Radeon,,,377900.0,2
ROMBICA,MyBook Zenith,1080.0,1920.0,15.6,,IPS,AMD Ryzen 9,5900HX,256.0,8.0,AMD Radeon,,,469100.0,2
ROMBICA,MyBook Zenith,1080.0,1920.0,15.6,,IPS,AMD Ryzen 7,5800H,512.0,16.0,AMD Radeon,,,,2
ROMBICA,MyBook Zenith,1080.0,1920.0,15.6,,IPS,AMD Ryzen 7,5800H,256.0,8.0,AMD Radeon,,,418400.0,2
ROMBICA,MyBook Zenith,1080.0,1920.0,15.6,,IPS,AMD Ryzen 7,5800U,256.0,8.0,AMD Radeon,,,331300.0,2
ROMBICA,MyBook Zenith,1080.0,1920.0,15.6,,IPS,AMD Ryzen 7,5800U,512.0,8.0,AMD Radeon Graphics,,,297900.0,2
HONOR,MagicBook X 14,1080.0,1920.0,14.0,,IPS,Intel Core i5,12450H,512.0,16.0,Intel UHD Graphics,,,456000.0,2
HONOR,MagicBook X 14,1200.0,1920.0,14.0,,IPS,Intel Core i5,12450H,512.0,8.0,Intel UHD Graphics,,,381000.0,2
HONOR,MagicBook X16,1200.0,1920.0,16.0,,IPS,Intel Core i5,12450H,512.0,8.0,Intel UHD Graphics,,,548900.0,2
HONOR,MagicBook 14,1080.0,1920.0,14.0,,IPS,AMD Ryzen 5,5500U,512.0,8.0,AMD Radeon Graphics,,,299800.0,2
REALME,RMNB1002,1440.0,2560.0,14.0,,IPS,Intel Core i5,1135G7,512.0,8.0,Iris Xe Graphics,,,319000.0,2
REALME,CloudPro002,1600.0,2560.0,14.0,,IPS,Intel Core i5,11320H,512.0,16.0,Iris Xe Graphics,,,531300.0,2
REALME,Book,1440.0,2160.0,14.0,,IPS,Intel Core i5,1135G7,512.0,8.0,Intel Iris Xe Graphics,,,319000.0,2
REALME,Book Prime,1440.0,2160.0,14.0,,IPS,Intel Core i5,11320H,512.0,16.0,Intel Iris Xe Graphics,,,409000.0,2
TCL,TCL Book 14 Go B220G,768.0,1366.0,14.0,,TN,Qualcomm Snapdragon,SC7180,128.0,4.0,Qualcomm Adreno 618,,,200800.0,2
TCL,Book 14 GO B220G,768.0,1366.0,14.0,,TN,Qualcomm Snapdragon,SC7180,128.0,4.0,Qualcomm Adreno 618,,,200800.0,2
IRU,КАЛИБР 15Y,1080.0,1920.0,15.6,,IPS,Intel Core i7,8550U,240.0,8.0,Intel UHD Graphics 620,,,333600.0,2
IRU,КАЛИБР 15Y,1080.0,1920.0,15.6,,IPS,Intel Core i7,8550U,256.0,8.0,Intel UHD Graphics 620,,,458000.0,2
IRU,КАЛИБР 15Y,1080.0,1920.0,15.6,,IPS,Intel Core i7,8550U,480.0,16.0,Intel UHD Graphics 620,,,343400.0,2
IRU,15Y,1200.0,1920.0,15.6,,IPS,Intel Core i7,8565U,480.0,16.0,Intel UHD Graphics,,,388300.0,2
IRU,15Y,1200.0,1920.0,15.6,,IPS,Intel Core i7,8565U,480.0,16.0,Intel UHD Graphics,,,391400.0,2
IRU,Калибр 15CLG1,1080.0,1920.0,15.6,,IPS,Intel Core i3,10110U,1024.0,8.0,Intel UHD Graphics,,,250500.0,2
IRU,Калибр 14TLH,1080.0,1920.0,14.1,,IPS,Intel Core i3,1115G4,256.0,8.0,Intel Iris Xe Graphics,,,232800.0,2
IRU,Калибр 14TLH,1080.0,1920.0,14.1,,IPS,Intel Core i3,1115G4,1024.0,8.0,Intel Iris Xe Graphics,,,256500.0,2
IRU,Калибр 15РH,1080.0,1920.0,15.6,,IPS,AMD Ryzen 5,3500U,256.0,8.0,AMD Radeon Vega 8,,,255200.0,2
IRU,Калибр 15GLG,1080.0,1920.0,15.6,,IPS,Intel Celeron,N4020,1024.0,4.0,Intel UHD Graphics 600,,,173200.0,2
IRU,Калибр 15ALC,1080.0,1920.0,15.6,,IPS,Intel Core i5,12500H,512.0,16.0,NVIDIA GeForce GTX 1650,4.0,,539000.0,2
IRU,Калибр 14TLH,1080.0,1920.0,14.1,,IPS,Intel Core i5,1135G7,1024.0,8.0,Intel Iris Xe Graphics,,,301400.0,2
IRU,Калибр 14TLH,1080.0,1920.0,14.1,,IPS,Intel Core i5,1135G7,256.0,8.0,Intel Iris Xe Graphics,,,276500.0,2
IRU,Калибр 17TLI,1080.0,1920.0,17.3,,IPS,Intel Core i5,1135G7,256.0,8.0,Intel Iris Xe Graphics,,,471600.0,2
IRU,Калибр 17TLI,1080.0,1920.0,17.3,,IPS,Intel Core i5,1135G7,512.0,16.0,Intel Iris Xe Graphics,,,487400.0,2
IRU,Калибр 15TLI,1080.0,1920.0,15.6,,IPS,Intel Core i5,1135G7,512.0,8.0,Intel Iris Xe Graphics,,,331200.0,2
IRU,Калибр 15TLI,1080.0,1920.0,15.6,,IPS,Intel Core i5,1135G7,256.0,8.0,Intel Iris Xe Graphics,,,377800.0,2
IRU,Калибр 15TLI,1080.0,1920.0,15.6,,IPS,Intel Core i5,1135G7,256.0,8.0,Intel Iris Xe Graphics,,,301400.0,2
IRU,Калибр 15TLI,1080.0,1920.0,15.6,,IPS,Intel Core i5,1135G7,256.0,8.0,Intel Iris Xe Graphics,,,365800.0,2
IRU,Калибр 15CLG2,1080.0,1920.0,15.6,,IPS,Intel Core i5,8259U,256.0,8.0,Intel Iris Plus graphics 655,,,308100.0,2
IRU,Калибр 15PH,1080.0,1920.0,15.6,,IPS,AMD Ryzen 5,3500U,512.0,8.0,AMD Radeon Vega 8,,,261300.0,2
IRU,Калибр 17ALC,1080.0,1920.0,17.3,,IPS,Intel Core i5,12500H,512.0,16.0,NVIDIA GeForce RTX 3060,6.0,,802200.0,2
IRU,Калибр 15TLI,1080.0,1920.0,15.6,,IPS,Intel Core i3,1115G4,256.0,8.0,Intel Iris Xe Graphics,,,265000.0,2
IRU,Калибр 15TLI,1080.0,1920.0,15.6,,IPS,Intel Core i3,1115G4,256.0,8.0,Intel UHD Graphics,,,266800.0,2
IRU,Калибр 15TLG,1080.0,1920.0,15.6,,TFT,Intel Core i5,1155G7,256.0,8.0,Intel UHD Graphics,,,272900.0,2
IRU,Калибр 15TLG,1080.0,1920.0,15.6,,TFT,Intel Core i3,1115G4,256.0,8.0,Intel UHD Graphics G4,,,234000.0,2
IRU,Калибр 15ALC,1080.0,1920.0,15.6,,IPS,Intel Core i5,12500H,512.0,16.0,NVIDIA GeForce RTX 3060,6.0,,718900.0,2
IRU,Калибр 15ALC,1080.0,1920.0,15.6,,IPS,Intel Core i5,12500H,512.0,16.0,NVIDIA GeForce RTX 3050,4.0,,616200.0,2
HIPER,Workbook MTL1585W,1080.0,1920.0,15.6,,IPS,Intel Core i3,1115G4,512.0,8.0,Intel UHD Graphics,,,309800.0,2
HIPER,DZEN MTL1569,1080.0,1920.0,15.6,,IPS,Intel Core i5,1135G7,512.0,16.0,NVIDIA GeForce MX450,2.0,,528600.0,2
HIPER,DZEN MTL1569,1080.0,1920.0,15.6,,IPS,Intel Core i3,1115G4,256.0,8.0,Intel UHD Graphics,,,325400.0,2
HIPER,DZEN MTL1569,1080.0,1920.0,15.6,,IPS,Intel Core i3,1115G4,256.0,8.0,Intel UHD Graphics,,,341100.0,2
HIPER,DZEN MTL1569,1080.0,1920.0,15.6,,IPS,Intel Core i5,1135G7,512.0,16.0,Iris Xe Graphics,,,461000.0,2
HIPER,EXPERTBOOK MTL1577,1080.0,1920.0,15.6,,IPS,AMD Ryzen 5,5600U,256.0,8.0,AMD Radeon,,,420000.0,2
HIPER,EXPERTBOOK MTL1577,1080.0,1920.0,15.6,,IPS,AMD Ryzen 7,5800U,256.0,8.0,AMD Radeon,,,433700.0,2
HIPER,EXPERTBOOK MTL1577,1080.0,1920.0,15.6,,IPS,AMD Ryzen 7,5800U,256.0,8.0,AMD Radeon,,,316800.0,2
HIPER,EXPERTBOOK MTL1577,1080.0,1920.0,15.6,,IPS,AMD Ryzen 5,5600U,512.0,16.0,AMD Radeon,,,476400.0,2
HIPER,DZEN MTL1569,1080.0,1920.0,15.6,,IPS,Intel Core i5,1135G7,256.0,8.0,Iris Xe Graphics,,,437600.0,2
HIPER,DZEN MTL1569,1080.0,1920.0,15.6,,IPS,Intel Core i5,1135G7,256.0,8.0,Iris Xe Graphics,,,418700.0,2
HIPER,DZEN MTL1569,1080.0,1920.0,15.6,,IPS,Intel Core i7,1165G7,512.0,16.0,NVIDIA GeForce MX450,2.0,,534400.0,2
HIPER,EXPERTBOOK MTL1577,1080.0,1920.0,15.6,,IPS,AMD Ryzen 5,5600U,256.0,8.0,AMD Radeon,,,436900.0,2
HIPER,DZEN MTL1569,1080.0,1920.0,15.6,,IPS,Intel Core i5,1135G7,512.0,16.0,NVIDIA GeForce MX450,2.0,,529300.0,2
HIPER,EXPERTBOOK MTL1577,1080.0,1920.0,15.6,,IPS,AMD Ryzen 7,5800U,512.0,16.0,AMD Radeon,,,460200.0,2
HIPER,G16,1080.0,1920.0,16.1,,IPS,Intel Core i7,11700K,512.0,16.0,NVIDIA GeForce RTX 3070,8.0,,1058700.0,2
HIPER,G16,1080.0,1920.0,16.1,,IPS,Intel Core i5,10400,512.0,16.0,NVIDIA GeForce RTX 3070,8.0,,1001700.0,2
HIPER,G16,1080.0,1920.0,16.1,,IPS,Intel Core i5,10400,512.0,16.0,NVIDIA GeForce RTX 3070,8.0,,1029200.0,2
HIPER,Workbook A1568K,1080.0,1920.0,15.6,,IPS,Intel Core i5,1035G1,512.0,8.0,Intel UHD Graphics 600,,,301800.0,2
HIPER,G16,1080.0,1920.0,16.1,,IPS,Intel Core i5,10400,1024.0,16.0,NVIDIA GeForce RTX 3070,8.0,,1004700.0,2
HIPER,Workbook N1567RH,1080.0,1920.0,15.6,,IPS,Intel Core i5,10210U,256.0,8.0,Intel UHD Graphics 600,,,286800.0,2
HIPER,G16,1080.0,1920.0,16.1,,IPS,Intel Core i7,11700K,1024.0,32.0,NVIDIA GeForce RTX 3070,8.0,,1223200.0,2
HIPER,Workbook N1567RH,1080.0,1920.0,15.6,,IPS,Intel Core i5,10210U,256.0,8.0,Intel UHD Graphics 600,,,302500.0,2
HIPER,Workbook A1568K,1080.0,1920.0,15.6,,IPS,Intel Core i5,1035G1,512.0,8.0,Intel UHD Graphics 600,,,,2
HIPER,G16,1080.0,1920.0,16.1,,IPS,Intel Core i5,10400,1024.0,16.0,NVIDIA GeForce RTX 3070,8.0,,1027300.0,2
HIPER,Workbook N1567RH,1080.0,1920.0,15.6,,IPS,Intel Core i3,10110U,256.0,8.0,Intel UHD Graphics 600,,,293900.0,2
HIPER,WORKBOOK N1567,1080.0,1920.0,15.6,,IPS,Intel Core i5,10210U,256.0,8.0,Intel UHD Graphics,,,302800.0,2
HIPER,WORKBOOK N1567,1080.0,1920.0,15.6,,IPS,Intel Core i3,10110U,256.0,8.0,Intel UHD Graphics,,,269100.0,2
HIPER,Office SP,1080.0,1920.0,17.3,,IPS,Intel Core i3,10110U,256.0,8.0,Intel UHD Graphics,,,,2
HIPER,Office SP,1080.0,1920.0,17.3,,IPS,Intel Core i3,10110U,512.0,8.0,Intel UHD Graphics,,,339600.0,2
HIPER,WORKBOOK N1567RH,1080.0,1920.0,15.6,,IPS,Intel Core i5,10210U,256.0,8.0,Intel UHD Graphics,,,310000.0,2
HIPER,Office SP,1080.0,1920.0,17.3,,IPS,Intel Core i7,10510U,512.0,8.0,Intel UHD Graphics,,,451500.0,2
HIPER,Office SP,1080.0,1920.0,17.3,,IPS,Intel Core i3,10110U,512.0,8.0,Intel UHD Graphics,,,325800.0,2
HIPER,WORKBOOK N15RP,1080.0,1920.0,15.6,,IPS,AMD Ryzen 5,3500U,512.0,16.0,AMD Radeon Vega 8,,,325900.0,2
HIPER,WORKBOOK N15RP,1080.0,1920.0,15.6,,IPS,AMD Ryzen 5,3500U,512.0,16.0,AMD Radeon Vega 8,,,304100.0,2
HIPER,WORKBOOK N15RP,1080.0,1920.0,15.6,,IPS,AMD Ryzen 3,3250U,256.0,8.0,AMD Radeon,,,258800.0,2
HIPER,WORKBOOK N15RP,1080.0,1920.0,15.6,,IPS,AMD Ryzen 5,3500U,256.0,8.0,AMD Radeon Vega 8,,,282300.0,2
HIPER,WORKBOOK N15RP,1080.0,1920.0,15.6,,IPS,AMD Ryzen 3,3250U,256.0,8.0,AMD Radeon,,,244300.0,2
HIPER,Workbook MTL1585W,1080.0,1920.0,15.6,,IPS,Intel Core i3,1115G4,512.0,8.0,Intel UHD Graphics,,,285600.0,2
HIPER,WORKBOOK MTL1585W,1080.0,1920.0,15.6,,IPS,Intel Core i5,1135G7,512.0,16.0,Intel UHD Graphics,,,369000.0,2
HIPER,Office SP,1080.0,1920.0,17.3,,IPS,Intel Core i5,1135G7,512.0,16.0,Intel Iris Xe Graphics,,,486100.0,2
HIPER,Office SP,1080.0,1920.0,17.3,,IPS,Intel Core i5,1135G7,512.0,16.0,Intel Iris Xe Graphics,,,503000.0,2
HIPER,Office SP,1080.0,1920.0,17.3,,IPS,Intel Core i7,1165G7,512.0,16.0,Intel Iris Xe Graphics,,,628700.0,2
HIPER,Office SP,1080.0,1920.0,17.3,,IPS,Intel Core i7,1165G7,512.0,8.0,Intel Iris Xe Graphics,,,499900.0,2
HIPER,Office SP,1080.0,1920.0,17.3,,IPS,Intel Core i7,1165G7,512.0,16.0,Intel Iris Xe Graphics,,,516500.0,2
HIPER,Office SP,1080.0,1920.0,17.3,,IPS,Intel Core i7,1165G7,512.0,8.0,Intel Iris Xe Graphics,,,486700.0,2
HIPER,Office SP,1080.0,1920.0,17.3,,IPS,Intel Core i5,1135G7,512.0,8.0,Intel Iris Xe Graphics,,,472800.0,2
HIPER,WORKBOOK A1568K,1080.0,1920.0,15.6,,IPS,Intel Core i5,1135G7,512.0,8.0,Intel Iris Xe Graphics,,,321300.0,2
HIPER,Office SP,1080.0,1920.0,17.3,,IPS,Intel Core i5,1135G7,512.0,8.0,Intel Iris Xe Graphics,,,488400.0,2
HIPER,Workbook A1568K,1080.0,1920.0,15.6,,IPS,Intel Core i5,1135G7,512.0,8.0,Intel Iris Xe Graphics,,,297000.0,2
HIPER,G16,1080.0,1920.0,16.1,,IPS,Intel Core i7,11700K,1024.0,16.0,NVIDIA GeForce RTX 3070,8.0,,978300.0,2
HIPER,G16,1080.0,1920.0,16.1,,IPS,Intel Core i7,11700K,1024.0,32.0,NVIDIA GeForce RTX 3070,8.0,,1057300.0,2
HIPER,G16,1080.0,1920.0,16.1,,IPS,Intel Core i7,11700K,2048.0,32.0,NVIDIA GeForce RTX 3070,8.0,,1087700.0,2
HIPER,G16,1080.0,1920.0,16.1,,IPS,Intel Core i7,11700K,1024.0,16.0,NVIDIA GeForce RTX 3070,8.0,,1008700.0,2
HIPER,G16,1080.0,1920.0,16.1,,IPS,Intel Core i7,11700K,512.0,16.0,NVIDIA GeForce RTX 3070,8.0,,930200.0,2
HIPER,G16,1080.0,1920.0,16.1,,IPS,Intel Core i7,11700K,2048.0,32.0,NVIDIA GeForce RTX 3070,8.0,,1081600.0,2
HIPER,Expertbook MTL1601,1080.0,1920.0,16.1,,IPS,Intel Core i5,1235U,512.0,16.0,Intel Iris Xe Graphics,,,462900.0,2
HIPER,Expertbook MTL1601,1080.0,1920.0,16.1,,IPS,Intel Core i5,1135G7,512.0,8.0,Intel Iris Xe Graphics,,,392300.0,2
HIPER,Expertbook MTL1601,1080.0,1920.0,16.1,,IPS,Intel Core i5,1135G7,1024.0,8.0,Intel Iris Xe Graphics,,,401100.0,2
HIPER,Expertbook MTL1601,1080.0,1920.0,16.1,,IPS,Intel Core i5,1235U,512.0,8.0,Intel Iris Xe Graphics,,,424800.0,2
HIPER,Expertbook MTL1601,1080.0,1920.0,16.1,,IPS,Intel Core i3,1210U,512.0,8.0,Intel UHD Graphics,,,,2
HIPER,Expertbook MTL1601,1080.0,1920.0,16.1,,IPS,Intel Core i5,1135G7,512.0,8.0,Intel Iris Xe Graphics,,,379800.0,2
HIPER,Expertbook MTL1601,1080.0,1920.0,16.1,,IPS,Intel Core i5,1135G7,1024.0,8.0,Intel Iris Xe Graphics,,,399200.0,2
HIPER,Expertbook MTL1601,1080.0,1920.0,16.1,,IPS,Intel Core i5,1235U,1024.0,16.0,Intel Iris Xe Graphics,,,465400.0,2
HIPER,Expertbook MTL1601,1080.0,1920.0,16.1,,IPS,Intel Core i5,1235U,512.0,16.0,Intel Iris Xe Graphics,,,443500.0,2
HIPER,Expertbook MTL1601,1080.0,1920.0,16.1,,IPS,Intel Core i5,1135G7,1024.0,8.0,Intel Iris Xe Graphics,,,413600.0,2
HIPER,Expertbook MTL1601,1080.0,1920.0,16.1,,IPS,Intel Core i5,1235U,512.0,8.0,Intel Iris Xe Graphics,,,444200.0,2
HIPER,Expertbook MTL1601,1080.0,1920.0,16.1,,IPS,Intel Core i3,1210U,1024.0,16.0,Intel UHD Graphics,,,,2
HIPER,Expertbook MTL1601,1080.0,1920.0,16.1,,IPS,Intel Core i3,1115G4,512.0,8.0,Intel UHD Graphics,,,331100.0,2
HIPER,Expertbook MTL1601,1080.0,1920.0,16.1,,IPS,Intel Core i3,1115G4,1024.0,8.0,Intel UHD Graphics,,,340500.0,2
HIPER,Expertbook MTL1601,1080.0,1920.0,16.1,,IPS,Intel Core i3,1210U,1024.0,8.0,Intel UHD Graphics,,,,2
HIPER,Expertbook MTL1601,1080.0,1920.0,16.1,,IPS,Intel Core i3,1115G4,512.0,8.0,Intel UHD Graphics,,,318600.0,2
HIPER,Expertbook MTL1601,1080.0,1920.0,16.1,,IPS,Intel Core i3,1210U,512.0,16.0,Intel UHD Graphics,,,,2
HIPER,Expertbook MTL1601,1080.0,1920.0,16.1,,IPS,Intel Core i3,1115G4,512.0,8.0,Intel UHD Graphics,,,338600.0,2
HIPER,Expertbook MTL1601,1080.0,1920.0,16.1,,IPS,Intel Core i3,1115G4,1024.0,8.0,Intel UHD Graphics,,,353000.0,2
DIGMA,EVE 15 P417,1080.0,1920.0,15.6,,IPS,Intel Pentium,J3710,128.0,4.0,Intel HD Graphics 405,,,174000.0,2
DIGMA,EVE 15 P417,1080.0,1920.0,15.6,,IPS,Intel Core i3,10110U,256.0,8.0,Intel UHD Graphics 600,,,237800.0,2
DIGMA,EVE 11 C421Y,768.0,1366.0,11.6,,TN,Intel Celeron,N4020C,128.0,4.0,Intel UHD Graphics,,,131300.0,2
DIGMA,EVE 15 C423,1080.0,1920.0,15.6,,IPS,AMD Ryzen 5,3500U,256.0,8.0,AMD Radeon Vega 8,,,252700.0,2
DIGMA,EVE 15 C423,1080.0,1920.0,15.6,,IPS,AMD Ryzen 3,3200U,256.0,8.0,AMD Radeon Vega 3,,,220400.0,2
DIGMA,EVE 15 C423,1080.0,1920.0,15.6,,IPS,AMD Ryzen 3,3200U,512.0,16.0,AMD Radeon Vega 3,,,290000.0,2
DIGMA,Pro Fortis M,1080.0,1920.0,15.6,,IPS,AMD Ryzen 5,5600U,512.0,8.0,AMD Radeon Vega 7,,,300300.0,2
DIGMA,Pro Fortis M,1080.0,1920.0,15.6,,IPS,Intel Core i7,10710U,512.0,16.0,Intel UHD Graphics,,,416900.0,2
DIGMA,Pro Fortis M,1080.0,1920.0,15.6,,IPS,AMD Ryzen 3,5300U,256.0,8.0,AMD Radeon Vega 6 Graphics,,,290000.0,2
DIGMA,Pro Fortis M,1080.0,1920.0,15.6,,IPS,AMD Ryzen 3,5300U,256.0,8.0,AMD Radeon Vega 6 Graphics,,,311800.0,2
DIGMA,Pro Fortis M,1080.0,1920.0,15.6,,IPS,AMD Ryzen 5,5600U,256.0,8.0,AMD Radeon Vega 7 Graphics,,,287300.0,2
DIGMA,Pro Fortis M,1080.0,1920.0,15.6,,IPS,Intel Core i5,10210U,512.0,16.0,Intel UHD Graphics,,,322500.0,2
DIGMA,Pro Fortis M,1080.0,1920.0,15.6,,IPS,Intel Core i3,10110U,512.0,8.0,Intel UHD Graphics,,,271200.0,2
DIGMA,Pro Fortis M,1080.0,1920.0,15.6,,IPS,Intel Core i5,10210U,512.0,8.0,Intel UHD Graphics,,,299800.0,2
DIGMA,EVE 15 P417,1080.0,1920.0,15.6,,IPS,Intel Pentium,N5030,256.0,8.0,Intel HD Graphics 605,,,213900.0,2
DIGMA,Pro Fortis M,1080.0,1920.0,15.6,,IPS,Intel Core i3,10110U,256.0,8.0,Intel UHD Graphics,,,244500.0,2
DIGMA,Pro Fortis M,1080.0,1920.0,15.6,,IPS,Intel Core i5,10210U,256.0,8.0,Intel UHD Graphics,,,279000.0,2
DIGMA,Pro Fortis M,1080.0,1920.0,17.3,,IPS,Intel Core i3,10110U,512.0,16.0,Intel UHD Graphics,,,389400.0,2
DIGMA,Pro Fortis M,1080.0,1920.0,17.3,,IPS,Intel Core i3,10110U,256.0,8.0,Intel UHD Graphics,,,360400.0,2
DIGMA,EVE 15 P418,1080.0,1920.0,15.6,,IPS,Intel Pentium,N5030,256.0,8.0,Intel UHD Graphics 605,,,201300.0,2
DIGMA,Pro Sprint M,1080.0,1920.0,15.6,,IPS,Intel Core i5,1135G7,512.0,8.0,Intel Iris Xe Graphics,,,331300.0,2
DIGMA,Pro Magnus M,1440.0,2560.0,16.1,,IPS,AMD Ryzen 9,5900HX,512.0,16.0,AMD Radeon RX Vega 8,,,595500.0,2
DIGMA,Pro Magnus M,1440.0,2560.0,16.1,,IPS,AMD Ryzen 7,5800H,512.0,16.0,AMD Radeon RX Vega 8,,,520000.0,2
DIGMA,Pro Magnus M,1440.0,2560.0,16.1,,IPS,AMD Ryzen 5,5600U,512.0,16.0,AMD Radeon RX Vega 7,,,447000.0,2
DIGMA,EVE 15 P418,1080.0,1920.0,15.6,,IPS,Intel Celeron,N4020C,,4.0,Intel UHD Graphics 600,,,134100.0,2
DIGMA,Pro Sprint M,1080.0,1920.0,15.6,,IPS,AMD Ryzen 5,3500U,256.0,8.0,AMD Radeon RX Vega 8,,,284200.0,2
DIGMA,Pro Sprint M,1080.0,1920.0,16.1,,IPS,AMD Ryzen 3,3250U,256.0,8.0,AMD Radeon RX Vega 3,,,254000.0,2
DIGMA,Pro Sprint M,1080.0,1920.0,16.1,,IPS,AMD Ryzen 5,3500U,512.0,16.0,AMD Radeon RX Vega 8,,,311400.0,2
PANASONIC,Toughbook,1440.0,2160.0,6.81,,LCD,Intel Core i5,10310U,512.0,16.0,Intel UHD Graphics,,,2974300.0,2
